N‰ringsv‰rden per 100 gram livsmedel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kJ)(kJ);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa m‰ttade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelom‰ttade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa flerom‰ttade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa lÂnga n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);J‰rn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg)
Nˆt f‰rs fett 10 % rÂ;951;760;182;20,1;11,3;0;0;0,2;0,9;67,8;0;0;0;0;0;5;0;0;0,3;2,7;1,6;0;5,1;0,5;4,4;0,5;0,3;0,4;0;0,1;0,1;0;0;0;0;0,3;59,9;13;10;28;0,09;0,6;8;0,07;0,19;0;4,4;8;0,26;1,52;162;3;3;0;2,04;8;279;20;86;5,5;4,99
Nˆt f‰rs kˆttf‰rs fett 15% rÂ;963;856;205;19,4;15;0;0;0,2;0,9;66,4;0;0;0;0;0;6,6;0;0;0,4;3,5;2;0;6,9;0,6;5,9;0,7;0,3;0,4;0;0,2;0,1;0,1;0;0;0;0,5;61,7;13;11;28;0,15;0,7;8;0,06;0,15;0;4,4;7,9;0,26;1,57;160;3;3;0;1,94;7;280;20;83;5,3;4,91
Nˆt f‰rs tacokryddad stekt;1124;995;238;22,2;16,5;0,5;0;2,7;3,5;57,4;0;0;0;0;0;5,9;0;0;0,4;3,1;1,9;0;8;0,5;7,2;1,7;1;1,2;0;0,4;0,4;0;0;0;0;0,4;64,3;31;23;100;0,31;1,8;13;0,05;0,15;0;4,8;8,8;0,15;1,07;181;7;79;0;2,26;12;320;24;1077;5,9;5,41
Nˆt grytbitar rÂ;961;600;144;20,6;6,9;0;0;0,2;0,9;71,9;0;0;0;0;0;3,2;0;0;0,2;1,6;1,2;0;2,9;0,2;2,6;0,4;0,2;0,2;0;0,1;0,1;0,1;0;0;0;0,2;60,2;10;7;34;0,07;0,7;5;0,06;0,17;0;4,5;8,3;0,25;1,51;165;5;3;0;2,58;6;295;20;69;6,1;7,04
Nˆt hamburgare fryst rÂ;1101;924;221;14,7;17,3;2;0;1,5;3;63;0;0,1;0,2;0;0;7,1;0;0;0,5;4,2;1,9;0;8,4;0,9;7;0,7;;0,4;0,1;;0,2;;0;0;0;;59;21;20;8;0,32;0,3;;0,09;0,12;0;5,2;7,9;0,45;1,4;124;7;;0;2,1;21;255;22;600;3;2
Nˆt hamburgare fryst stekt ;1138;1171;280;16,1;22,5;3,8;0;1,6;2,6;55;0;0,1;0,4;0,1;0;9,2;0;0;0,6;5,4;2,4;0;10,9;1,2;9,1;0,9;;0,5;0,1;;0,2;;0;0;0;;68;21;20;8;0,25;0,3;;0,28;0,1;0;3;6;0,2;1,5;166;4;;0;2,4;26;315;22;640;4;3,9
Nˆt hˆgrev fett bortskuret rÂ;953;600;144;20,6;6,9;0;0;0,2;0,9;71,9;0;0;0;0;0;3,2;0;0;0,2;1,6;1,2;0;2,9;0,2;2,6;0,4;0,2;0,2;0;0,1;0,1;0,1;0;0;0;0,2;60,2;10;7;34;0,07;0,7;5;0,06;0,17;0;4,5;8,3;0,25;1,51;165;5;3;28;2,58;6;295;20;69;6,1;7,04
Nˆt hˆgrev kokt;1038;763;182;26,2;8,8;0;0;0,5;1,5;64;0;0;0;0;0;4,1;0;0;0,2;2;1,5;0;3,7;0,3;3,3;0,5;0,2;0,3;0;0,1;0,1;0,1;0;0;0;0,3;76,5;12;9;43;0,09;0,9;6;0,05;0,15;0;5,7;10,5;0,16;1,24;210;5;20;36;3,28;8;360;25;218;7,7;8,94
Nˆt innanlÂr rÂ;954;478;114;23,8;1,6;0;0;0,1;1;72,8;0;0;0;0;0;0,7;0;0;0;0,4;0,2;0;0,6;0,1;0,6;0,1;0,1;0,1;0;0;0;0;0;0;0;0;59,6;5;3;21;0;0,6;3;0,09;0,2;0;5,9;10,2;0,45;1,02;200;4;3;0;2,89;4;350;24;55;9,5;4,23
Nˆt kˆtt hackebiff rÂ fryst;962;666;159;20;8,8;0;0;0,1;1,1;70,1;0;0;0;0;0;4,2;0;0;0,2;2,1;1,7;0;3,6;0,2;3,2;0,3;;0,2;0;;0;;0;0;0;;54;7;6;10;0,5;0,1;;0,03;0,19;0;5,9;9,6;0,48;1,4;162;12;;0;2,3;7;303;21;54;9;5,4
Nˆt kˆtt rÂ;5066;539;129;22,2;4,2;0;0;0,2;1;72,3;0;0;0;0;0;1,9;0;0;0,1;0,9;0,7;0;1,6;0,1;1,5;0,3;0,2;0,2;0;0,1;0;0;0;0;0;0,1;58,4;8;5;31;0,03;0,7;3;0,08;0,19;0;5,7;9,8;0,38;1,19;190;5;3;;2,62;5;328;23;64;7,5;4,62
Nˆt kˆtt rˆkt ;1000;444;106;20;2,8;0;0;4,4;4,1;73,1;0;0;0;0;0;1,2;0;0;0,1;0,6;0,4;0;1,2;0,1;1;0,2;;0,1;0;;0;0;0;0;0;;91;3;3;5;0,36;0,3;;0,11;0,19;0;4,1;7,8;0,33;1,4;211;12;;0;3,6;8;320;22;1750;9;6,2
Nˆt lever gryta;1465;649;155;12;8,8;6,8;0,5;1,2;2,2;69,7;0;0,7;1,3;0,4;0;3,5;0,3;0,1;0,4;1,7;0,7;0;3,1;0,1;2,9;1,3;0,5;0,8;0,1;0,2;0,3;0;0;0,1;0;0,1;170,5;7597;7550;565;0,27;1,3;4;0,14;1,59;13;6,1;8,3;0,31;37,9;219;858;36;5;5,16;40;233;26;492;8,4;2,27
Nˆt lever panerad stekt;1458;880;210;22,9;7,7;11,9;0,4;0,6;2,1;55;0;0,1;0,2;0;1;1,6;0;0;0;0,8;0,6;0;3,2;0,1;2,9;1,8;0,7;1;0,2;0,3;0,3;0;0,1;0,1;0;0;329,3;15685;15597;1051;0,35;2;4;0,26;3,7;26;12,6;16,8;0,9;96,59;394;1898;23;8;10,46;12;331;41;258;16,7;4,5
Nˆt lever rÂ;1445;530;127;20;3,1;4,4;0;0,2;1,5;71;0;0;0;0;0;1;0;0;0;0,5;0,5;0;0,7;0,1;0,5;0,6;;0,2;0,2;;0;;0,1;0,1;0;;300;14279;14200;950;0,13;0,8;;0,29;4,2;29;11,2;14,9;1;110;345;2300;4;7;9,4;8;285;34;82;15;4
Nˆt lever stekt;1459;676;162;25,5;4;5,6;0;0,7;2,3;62,6;0;0;0;0;0;1,3;0;0;0;0,6;0,6;0;0,8;0,1;0,7;0,8;;0,2;0,2;;0;;0,1;0,1;0;0;383,1;18234;18133;1213;0,17;1;;0,26;4,29;30;14,3;19;1,02;112,37;441;2203;26;9;12,01;11;364;44;267;19,2;5,11
Nˆt l‰gg rÂ;955;452;108;20,5;2,8;0;0;0,2;1,1;75,6;0;0;0;0;0;1,2;0;0;0,1;0,6;0,4;0;1,2;0,1;1;0,2;;0,1;0;;0;;0;0;0;;53;3;3;5;0,6;0,3;;0,03;0,14;0;6;9,8;0,5;1,4;176;12;;40;2,7;11;325;22;66;8;4,4
Nˆt njure rÂ;1446;473;113;15,8;5,1;0,9;0;0,5;1,2;77;0;0;0;0;0;2,1;0;0;0,1;1;1;0;1,3;0,1;1,2;0,3;;0,2;0,1;;0;;0;0;0;;375;211;205;68;1;0,3;;0,39;3,6;9;8,2;11,1;0,43;31;230;80;4;10;7,2;15;189;10;195;124;1,6
Nˆt- och chokladkr‰m Nutella;1860;2199;526;5,8;29,6;56,9;4,9;0,1;1,5;1,4;0;0;57,3;47,7;0;9,2;0;0,1;0,2;7,4;1,4;0,1;15,8;0,1;15,7;3,4;;3,3;0;;0,1;0;0;0;0;0,2;2;0;0;3;0,63;7,8;5;0,01;0,28;0;0,5;1,4;0,14;0,2;178;24;7;0;2,3;124;476;76;28;5;0,12
Nˆt oxbringa;947;858;205;17,6;15,1;0;0;0,2;0,9;66,4;0;0;0;0;0;7,2;0;0;0,4;3,6;2,9;0;6,1;0,4;5,5;0,6;;0,4;0,1;;0,1;0;0;0;0;;62;22;19;36;1;0,4;;0,09;0,17;0;4,2;7,4;0,39;1,4;170;12;1;15;2,1;4;260;18;71;9;4,4
Nˆt oxbringa rimmad kokt;1042;1055;252;21,6;18,6;0;0;4;6,1;53,6;0;0;0;0;0;8,9;0;0;0,5;4,5;3,6;0;7,5;0,5;6,7;0,7;;0,4;0,1;;0,1;0;0;0;0;;76,3;26;23;27;1,23;0,5;;0,06;0,12;0;5,2;9,1;0,19;0,88;209;10;;46;2,58;5;307;22;1599;11,1;5,41
Nˆt oxbringa rimmad rÂ;948;858;205;17,6;15,1;0;0;3,3;5;62,3;0;0;0;0;0;7,2;0;0;0,4;3,6;2,9;0;6,1;0,4;5,5;0,6;;0,4;0,1;;0,1;0;0;0;0;;62;21;19;22;1;0,4;;0,07;0,14;0;4,2;7,4;0,31;1,1;170;12;;37;2,1;4;260;18;1300;9;4,4
Nˆt oxfilÈ rÂ;949;517;124;21,7;4,1;0;0;0,2;1,1;73,3;0;0;0;0;0;2;0;0;0,1;0,9;0,8;0;1,4;0,1;1,3;0,3;0,2;0,2;0;0,1;0,1;0;0;0;0;0,1;56,8;8;5;41;0;0,8;2;0,1;0,21;0;6,8;10,8;0,41;1,48;210;5;4;0;2,32;4;350;25;70;6,5;2,63
Nˆt oxsvans fett bortskuret rÂ;996;714;171;20;10,1;0;0;0,3;1,3;68,6;0;0;0;0;0;4,8;0;0;0,3;2,4;1,9;0;4,1;0,3;3,7;0,4;;0,2;0;;0,1;0;0;0;0;;70;12;10;19;0,4;0,3;;0,03;0,29;0;4,5;8,2;0,27;3;160;12;;62;2,7;9;270;20;110;9;5,6
Nˆt oxtunga rimmad kokt;1460;1220;292;19,5;24;0;0;2,5;3,4;53,1;0;0;0;0;0;9,8;0;0;0,7;5,8;2,6;0;11,6;1,2;9,7;0,9;;0,5;0,1;;0,2;;0;0;0;;100;14;12;23;0,7;0,4;;0,06;0,29;0;4,1;7,7;0,09;4;230;5;;0;3;31;150;16;1000;3;3,5
Nˆt oxtunga rimmad rÂ;1456;921;220;15,7;17,5;0,4;0;3;4,4;62;0;0;0;0;0;8,4;0;0;0,5;4,2;3,4;0,1;7,1;0,5;6,4;0,7;;0,4;0,1;;0,1;0,1;0;0,1;0;;78;22;19;36;0,3;0,3;;0,1;0,38;3;6,4;9,3;0,18;0;150;12;;25;4,9;7;300;19;1210;9;3,5
Nˆt oxtunga rÂ;1447;734;176;16,2;12,4;0;0;0,2;0,9;70,5;0;0;0;0;0;5,9;0;0;0,3;3;2,4;0;5;0,3;4,5;0,5;;0,3;0,1;;0,1;0;0;0;0;;100;14;12;24;0,3;0,3;;0,08;0,34;0;5;8;0,12;4,9;175;19;2;25;2,6;9;295;18;97;9;3,1
Nˆt rostbiff rÂ;957;521;125;22,7;3,2;0;0;0,2;1;72,1;0;0;0;0;0;1,4;0;0;0,1;0,7;0,5;0;1,2;0,1;1,1;0,2;0,1;0,1;0;0,1;0;0;0;0;0;0,1;60,7;8;5;44;0;0,8;4;0,12;0,24;0;5,9;10,1;0,42;1,35;200;4;3;10;2,85;5;330;24;65;8,5;3,65
Nˆt rostbiff tillagad u salt ugnsrostad;1058;519;124;24;3;0;0;0,2;1,4;71,6;0;0;0;0;0;1,2;0;0;0,1;0,7;0,3;0;1,4;0,1;1,2;0,2;;0,1;0,1;;0;;0;0;0;;91;4;3;6;0,5;0,3;;0,08;0,35;0;6,5;10,9;0,33;1,3;210;9;;0;3;15;370;24;67;2;5,7
Nˆt rostbiff ugnsstekt;1044;607;145;26,4;3,7;0;0;0,5;1,5;67,2;0;0;0;0;0;1,7;0;0;0,1;0,8;0,6;0;1,4;0,1;1,2;0,3;0,2;0,2;0;0,1;0;0;0;0;0;0,1;70,7;10;5;51;0;0,9;4;0,09;0,22;0;6,9;11,8;0,39;1,26;233;4;19;12;3,33;6;385;28;199;9,8;4,25
Nˆt rulle rimmad rÂ;958;432;103;21,5;1,8;0;0;0,2;5;71,7;0;0;0;0;0;0,8;0;0;0;0,4;0,3;0;0,8;0,1;0,7;0,1;;0,1;0;;0;0;0;0;0;;53;2;2;3;0,5;0,3;;0,05;0,18;0;6;9,9;0,5;1,4;199;12;;0;2,7;5;320;22;61;8;4,4
Nˆt saltkˆtt rimmat kokt;999;460;110;22,5;2,1;0;0;2,1;4,6;70,8;0;0;0;0;0;0,9;0;0;0;0,5;0,3;0;0,9;0,1;0,8;0,1;;0,1;0;;0;;0;0;0;;91;2;2;4;0,5;0,3;;0,07;0,09;0;1,6;5,7;0,33;1,3;250;12;0;0;3,4;15;350;24;820;9;6,2
Nˆt stek el grytstek kokt;1039;620;148;26,7;4,5;0;0;0,5;1,7;67,1;0;0;0;0;0;2;0;0;0,1;1,1;0,7;0;1,8;0,1;1,6;0,2;;0,1;0;;0;;0;0;0;0;68,1;6;6;10;0,64;0,1;;0,07;0,24;0;4,5;9,4;0,28;1;238;12;17;18;3,08;8;411;27;214;10,3;6,16
Nˆt stek fryst stekt u steksky ;1057;567;135;25,5;3,6;0;0;1,2;1,9;69;0;0;0;0;0;1,4;0;0;0,1;0,8;0,4;0;1,6;0,1;1,4;0,3;;0,2;0,1;;0;;0;0;0;;91;5;4;7;0,7;0,3;;0,04;0,22;0;6,1;10,8;0,32;1,3;220;10;;0;3,5;15;365;24;475;4;6,3
Nˆt ytterlÂr rÂ;959;466;111;21,3;2,8;0;0;0,1;1,1;74,8;0;0;0;0;0;1,2;0;0;0,1;0,6;0,4;0;1,2;0,1;1;0,2;;0,1;0;;0;;0;0;0;;52;4;3;6;0,5;0,3;;0,06;0,18;0;6,3;10,2;0,5;1,4;191;12;;7;2,4;6;331;24;57;8;4,2
Nˆtf‰rs fett 10% stekt;2101;941;225;25,1;14;0;0;1,2;2,1;59,1;0;0;0;0;0;6,2;0;0;0,4;3,3;2;0;6,3;0,6;5,4;0,6;0,3;0,4;0;0,1;0,1;0;0;0;0;0,4;73,8;16;13;35;0,11;0,8;10;0,06;0,19;0;5,4;10;0,26;1,51;202;3;51;0;2,54;11;347;25;482;6,8;6,21
Oliver grˆna m paprikafyllning inlagda;401;540;129;1,4;12,7;1,6;2,4;5,6;6,4;75,5;0;0,1;0,2;0,2;0;1,8;0;0;0;1,5;0,3;0,1;8,9;0,1;8,7;1,4;;1,3;0;;0,1;;0;0;0;0;0;23;0;280;0;0,1;;0;0;0;0;0,2;0,02;0;17;10;5;0;1,6;61;55;22;2250;0,5;0,2
Oliver svarta m olja konserv;402;1483;354;2,2;36;4,8;4;8,3;9,5;43,5;0;0,6;1,2;1,2;0;5;0;0;0;4,1;0,8;0,1;25;0,4;24,7;4;;3,8;0;;0,2;;0;0;0;;0;3;0;40;0;0,1;;0;0;0;0;0,4;0,01;0;29;10;;0;1,6;61;55;22;3300;0,5;0,2
Olivolja;35;3700;884;0;100;0;0;0;0;0;0;0;0;0;0;14,3;0;0;0;11,1;2,7;0,4;72,6;1,2;70,7;8,8;8,1;8,1;0;0,7;0,7;0;0;0;0;0;0;1;0;11;0;17,5;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Olivolja extra jungfruolja;4659;3700;884;0;100;0;0;0;0;0;0;0;0;0;0;13,8;0;0;0;10,3;2,9;0,4;73,8;0,9;72;7,9;7,3;7,3;0;0,7;0,7;0;0;0;0;0;0;8;0;96;0;21,1;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Orientalisk sÂs Uncle Ben;2011;379;91;1,1;4,8;10,1;1,4;1,3;1,6;81;0;2,4;4,6;4,1;0;1,4;0,1;0,4;0,2;0,5;0,2;0;1;0;1;1,4;;1,4;0;;0;0;0;0;0;0,2;0;65;4;573;0;3,3;5;0,05;0,04;1;0,5;0,6;0,1;0;27;21;1;0;0,4;22;151;9;506;0,5;0,18
Ost hÂrdost fett 10% ;77;946;226;32,4;10;1,5;0;1,1;4,8;51,3;0;0;0;0;0;6,6;1;0,3;1;2,9;1,2;0;2,3;0,1;2,2;0,2;0;0,2;0;0;0,1;;0;0;0;0,3;29;91;83;46;0,07;0,2;1;0,03;0,38;0;0,1;7,6;0,06;1,9;660;43;21;0;0,2;970;110;40;430;11,8;4
Ost hÂrdost fett 17% ;95;1170;280;30,3;17;1,5;0;1,1;4,4;46,8;0;0;0;0;0;11,2;1,8;0,5;1,8;4,9;2;0;4;0,2;3,7;0,3;0;0,3;0;0;0,1;;0;0;0;0,5;48;149;142;78;0,12;0,4;2;0,03;0,34;0;0,1;7,1;0,05;1,8;600;39;19;0;0,2;880;99;36;430;11,1;3,7
Ost hÂrdost fett 23% ;78;1361;325;29,2;23;0,8;0;1,2;4;43;0;0,1;0,1;0;0;15,1;2,4;0,7;2,4;6,7;2,7;0;5,4;0,2;5;0,4;0;0,4;0;0;0,2;;0;0;0;0,7;65;201;192;106;0,16;0,5;2;0,03;0,32;0;0,1;6,9;0,05;1,6;550;36;17;0;0,19;810;91;33;470;10,4;3,5
Ost hÂrdost fett 26% ;79;1409;337;24,9;26;1,4;0;1;4,1;43,6;0;0;0;0;0;17,1;2,7;0,8;2,7;7,5;3;0,1;6,1;0,3;5,6;0,4;0;0,4;0;0;0,2;;0;0;0;0,8;73;227;217;120;0,18;0,6;3;0,03;0,32;0;0,1;5,5;0,05;1,6;530;34;18;0;0,14;770;92;32;390;9,1;3
Ost hÂrdost fett 28% ;96;1521;363;27,1;28;1,4;0;1,1;3,7;39,8;0;0;0;0;0;18,4;2,9;0,9;2,9;8,1;3,2;0,1;6,5;0,3;6;0,4;0;0,4;0;0;0,2;;0;0;0;0,8;79;245;234;129;0,19;0,7;3;0,02;0,29;0;0;6,4;0,04;1,5;510;33;16;0;0,14;750;84;31;430;9,9;3,3
Ost hÂrdost fett 31% ;97;1616;386;26,2;31;1,4;0;1,1;3,5;37,9;0;0;0;0;0;20,3;3,2;1;3,2;9;3,6;0,1;7,2;0,3;6,7;0,5;0;0,5;0;0;0,2;;0;0;0;0,9;87;271;259;143;0,21;0,7;3;0,02;0,28;0;0;6,2;0,04;1,4;490;32;15;0;0,11;710;80;29;430;9,6;3,2
Ost hÂrdost fett 38% ;80;1763;421;19,8;38;1,2;0;1,2;3,5;37,5;0;0;0;0;0;24,9;3,9;1,2;3,9;11;4,4;0,1;8,9;0,4;8,2;0,6;0;0,6;0;0;0,3;;0;0;0;1,1;106;332;317;175;0,26;0,9;4;0,02;0,28;0;0;4,7;0,04;1,4;430;28;15;0;0,15;620;79;25;470;7,2;2,4
Ost hÂrdost fett 5% ;90;787;188;33,9;5;1,5;0;1,1;5,1;54,5;0;0;0;0;0;3,3;0,6;0,2;0,5;1,4;0,5;0;1,2;0,1;1;0,1;;0,1;0;;0;;0;0;0;;15;44;42;23;0,04;0,1;;0,03;0,4;0;0,1;8;0,06;2,1;700;46;;0;0,2;1030;115;42;430;12,4;4
Ost hÂrdost fett 7% ;91;851;203;33,3;7;1,5;0;1,1;5;53,2;0;0;0;0;0;4,7;0,8;0,3;0,8;2;0,8;0;1,6;0,1;1,4;0,1;;0,1;0;;0;;0;0;0;;21;61;58;32;0,05;0,2;;0,03;0,39;0;0,1;7,9;0,06;2;684;45;;0;0,2;1006;112;41;430;12,2;4
Ost- o skinkpaj fryst v‰rmd;767;1333;319;11,1;21,4;20,3;0,9;1,3;1,9;44,4;0;0,2;1,2;0,1;0;10,3;0,8;0,5;1,1;5,7;1,9;0,1;7,4;0,3;6,9;2,5;;1,9;0;;0,3;;0;0;0;0,2;110;180;173;84;0,66;2,2;;0,94;0,27;2;1,5;4,1;0,13;0,55;166;29;;0;0,78;82;153;20;512;9,4;1,42
Ost- o skinkpaj m mellanmjˆlk matlagningsgr‰dde hemlagad;789;1199;286;11,4;19,8;15;2,1;0,9;1,6;50,1;0;0,2;1;0,1;0;9,2;0,6;0,6;0,9;5,5;1,4;0,1;6,8;0,2;6,4;2,6;;2,2;0;;0,3;;0;0;0;0,1;83;191;180;135;1,45;3,1;;0,21;0,2;1;1,3;4;0,1;0,55;174;31;;0;0,62;96;150;20;365;9,8;1,45
Ost- och skinksÂs;2142;618;148;10,8;9,1;5,7;0,1;1,6;2,6;71,7;0;0;3,6;0;0;4,2;0,5;0,2;0,6;2;0,8;0;3,2;0,1;3;0,9;0,5;0,7;0;0,2;0,2;0;0;0;0;0,2;32,8;61;58;40;0,54;0,9;4;0,12;0,16;0;1;3,2;0,09;0,68;187;11;35;0;0,23;177;205;18;647;3,7;1,47
OstbÂgar;1582;2200;526;9,8;30;53,7;1,3;0,4;3,6;1,6;0;0,6;1,9;0,4;0;9,5;0,3;0,2;0,6;4,2;3,7;0,2;17,8;0,1;17,2;1,4;;1,3;0;;0,1;;0;0;0;;0;17;0;204;0;0;;0,01;0,03;0;0,9;1,9;0,01;0,1;225;14;;0;0,9;59;240;2;160;1;0,1
Ostkaka fett 7%;2184;718;172;10;7;17;0;0,1;1,3;64,7;0;0;12;12;0;4,4;0,6;0,2;0,7;2;0,8;0;1,8;0,1;1,5;0,2;;0,1;0;;0;;0;0;0;;31,9;113;110;40;0,06;0,8;;0,1;0,27;0;0,2;2,5;0,07;0,5;220;12;;0;1;255;157;21;54;1;1,4
Ostkaka fett 9% ;1772;766;183;10,1;8,8;15,8;0;0,1;1,3;64;0;0;16;13;0;5,7;0,8;0,3;0,9;2,5;1;0;2,3;0,1;2;0,2;;0,2;0;;0,1;;0;0;0;;41;113;110;40;0,06;0,8;;0,1;0,27;0;0,2;2,6;0,07;0,5;220;12;;0;1;255;157;21;54;1;1,4
Ostkaka f‰rskost;1760;710;170;9,5;9,5;11,4;0,5;0,5;1,2;67,9;0;0,1;8,8;6,6;0;4;0,4;0,2;0,6;2;0,7;0;3,8;0,1;3,5;1;0,2;0,9;0;0;0,1;0;0;0;0;0,2;61,5;78;75;40;0,29;2,3;5;0,07;0,2;0;0,4;2,5;0,05;0,54;146;20;10;5;0,61;85;142;25;183;5,5;0,7
Ostkaka l‰tt osockrad fett 3% ;1773;464;111;12;3;8,6;0,4;0,1;1,3;74,7;0;0;8;0;0;1,9;0,3;0,1;0,3;0,9;0,3;0;0,8;0,1;0,7;0,1;;0,1;0;;0;;0;0;0;;41;58;55;40;0,27;0,8;;0,1;0,27;0;0,2;3;0,07;0,5;50;12;;0;1;430;157;21;54;1;1,4
Ostron;1386;236;56;9,5;2;0;0;0,2;1,8;86,7;0;0;0;0;0;0,6;0;0,1;0,1;0,3;0,1;0;0,2;0,1;0,1;0,6;;0;0;;0;;0,2;0;0,2;0;50;94;94;0;1;0,9;;0,13;0,18;0;1,9;3,6;0,05;18;148;10;60;91;6,4;90;121;28;73;70;50
Ostron konserv m lag;1391;243;58;9,5;2,2;0;0;0,3;2,2;86,1;0;0;0;0;0;0,6;0;0,1;0,1;0,3;0,1;0;0,2;0,1;0,1;0,7;;0;0;;0;;0,2;0;0,3;0;55;60;60;0;0,65;0,6;;0,02;0,2;0;0,8;2,5;0,04;19;124;9;;0;5,6;28;70;54;112;50;32,5
OstsufflÈ;1198;713;170;11,1;11,1;6,6;0,1;1,2;2,3;68,7;0;0,1;2,4;0;0;5;0,6;0,2;0,6;2,5;0,9;0;3,8;0,1;3,6;1,1;0,7;0,9;0;0,2;0,2;0;0;0;0;0,2;124;132;129;34;0,75;2,4;12;0,07;0,23;0;0,2;2,8;0,07;0,89;215;31;59;4;0,62;226;142;16;474;9,8;1,27
OstsÂs;1988;651;156;7,4;10,8;7,3;0,1;0,9;1,9;72,5;0;0;4,6;0;0;5,2;0,7;0,2;0,8;2,4;0,9;0;3,8;0,1;3,5;1,1;0,6;0,8;0;0,2;0,3;0;0;0;0;0,2;22,8;77;73;51;0,51;1;5;0,07;0,17;0;0,2;1,9;0,06;0,7;176;14;44;0;0,09;223;171;16;346;3;0,88
OstsÂs fett 8% Kelda;2230;494;118;4,7;7,6;7,9;0;1,3;2,2;77,7;0;0;4,1;0;0;4,8;0,6;0,2;0,8;2,1;0,8;0;1,9;0,1;1,7;0,3;0,2;0,3;0;0;0;;0;0;0;0,3;26,2;62;61;19;0;0,2;1;0,04;0,19;0;0,1;1,2;0,05;0,26;163;8;1;;0;55;140;11;537;2,5;0,53
OstsÂs till moussaka;1990;553;132;8,9;7,5;7,3;0,1;1,1;2;74,1;0;0,1;3,4;0;0;3,8;0,4;0,2;0,5;1,9;0,7;0;2,2;0,1;2;0,5;0,3;0,4;0;0,1;0,1;0;0;0;0;0,1;107,2;106;104;28;0,41;1,7;9;0,08;0,24;0;0,3;2,4;0,07;0,85;176;26;59;3;0,55;171;161;15;432;8,4;1,01
OstsÂs ‰delost;1989;670;160;7,8;11,3;6,9;0,1;1,4;2,6;71,3;0;0;4,4;0;0;5,3;0,6;0,2;0,8;2,4;0,9;0;4,1;0,1;3,8;1,2;0,6;0,9;0;0,3;0,3;0;0;0;0;0,1;25,2;76;71;41;0,53;1,1;4;0,08;0,23;0;0,5;2,2;0,1;0,71;158;17;57;0;0,1;183;168;16;544;1,9;1,23
Oxrulad nˆt stekt;1043;571;137;24,3;3,6;0,9;0,1;0,7;1,9;68,8;0;0,2;0,2;0,2;0;1,5;0;0;0,1;0,8;0,5;0;1,5;0,1;1,3;0,3;0;0,1;0;0;0;0;0;0;0;0;62;11;7;58;0,29;0,4;1;0,07;0,21;2;5,1;9,5;0,4;1,34;214;9;13;9;2,88;14;383;25;288;10,3;4,85
Paella;842;617;147;11;6;12;0,4;0,8;1,5;69,1;0;0,5;0,1;0,1;0;1,6;0;0;0;1,2;0,3;0;3,1;0,3;2,6;0,9;0,1;0,6;0;0,1;0,1;0,2;0,1;0;0,1;0;37,1;32;27;63;0,54;1,7;2;0,05;0,13;7;3,2;5,2;0,17;1,34;147;16;40;14;1,08;17;140;21;313;13,9;1,13
Paj kyckling bacon;757;944;226;9,6;15,2;12,2;1,2;1,1;1,7;60;0;0,9;0,9;0,3;2;7,5;0,8;0,3;0,9;3,9;1,2;0;5,1;0,2;4,9;1,6;0,6;1,2;0;0,2;0,4;0;0;0;0;0,3;41,1;110;69;72;0,67;1,7;2;0,14;0,1;9;4,3;6,1;0,29;0,15;116;18;40;3;0,62;29;217;20;428;4,5;0,57
Paj kˆttf‰rs;756;986;236;11,4;15,5;12,6;1;0,9;1,6;58,1;0;0,7;0,6;0,3;7;7,4;0,6;0,3;0,8;4;1,3;0;5,6;0,3;5,2;1,6;0,6;1,1;0;0,2;0,3;0;0;0;0;0,3;54,6;110;60;98;0,66;1,7;6;0,1;0,13;4;2,4;4,6;0,16;0,58;137;15;31;2;1,16;64;214;19;356;4,3;2,21
